source,target,episode_count
Larry,Jeff,42
Larry,Cheryl,34
Larry,Richard,20
Cheryl,Jeff,13
Larry,Susie,12
Larry,Leon,9
Jeff,Susie,8
Jeff,Richard,6
Cheryl,Richard,5
Larry,Marty,5
Leon,Richard,4
Larry,Ted,3
Cheryl,Ted,2
Jeff,Marty,2
Jeff,Ted,1
Susie,Richard,1
Cheryl,Susie,1
Jeff,Leon,1
Cheryl,Marty,1
Richard,Marty,1
Cheryl,Leon,1
