category,keywords
Etiquette & manners,"apology, apologize, birthday, dinner, etiquette, funeral, gift, guest, invitation, invite, manners, party, rude, table, thank, tip, tipping, waiter, wedding"
Truth & trust,"accuse, alibi, betray, deceive, hide, lie, lying, promise, rumor, secret, suspect, trust"
Space & access,"airplane, bathroom, car, club, elevator, golf, hotel, line, office, park, parking, restaurant, seat, store, theater, ticket"
Relationships & loyalty,"affair, boyfriend, cheryl, date, dating, divorce, family, friend, girlfriend, husband, love, marriage, parents, wife"
Identity & language,"accent, black, christian, culture, disability, gay, handicap, identity, israel, jewish, language, political, race, religion"
Money & exchange,"bill, business, buy, contract, debt, donation, job, loan, money, pay, payment, restaurant, sell, tip, work"
Health & body,"body, death, dentist, doctor, funeral, health, heart, hospital, illness, injury, kidney, medical, sick"
Reputation & status,"celebrity, credit, embarrass, famous, hero, honor, insult, offend, reputation, respect, scandal, status"
